Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1229,ZNF207,Cluster 132,9,Component 2,9,2,1,7
1230,NOTCH4,Cluster 4356,1,Component 443,0,0,1,0
1231,ACKR1,Cluster 791,3,Component 2,8,1,1,7
1232,POLB,Cluster 32,24,Component 2,11,1,1,10
1233,NRAP,Cluster 4355,1,Component 444,0,0,1,0
1234,SLC51B,Cluster 4354,1,Component 445,0,0,1,0
1235,IQSEC1,Cluster 131,9,Component 2,1,0,1,1
1236,KLB,Cluster 790,3,Component 2,1,0,1,1
1237,RPS16,Cluster 4,61,Component 2,55,3,1,52
1238,SCAF8,Cluster 68,15,Component 2,13,2,1,11
1239,AGRN,Cluster 257,6,Component 2,1,0,1,1
1240,BHMT,Cluster 1366,2,Component 446,1,0,1,1
1241,DHX8,Cluster 476,4,Component 2,6,0,1,6
1242,LEPR,Cluster 1365,2,Component 447,1,0,1,1
1243,ARHGEF4,Cluster 4353,1,Component 448,0,0,1,0
1244,GPD1,Cluster 48,19,Component 2,13,3,1,10
1245,KIFBP,Cluster 69,14,Component 2,7,0,1,7
1246,LDHC,Cluster 192,7,Component 2,1,0,1,1
1247,SLC27A1,Cluster 4352,1,Component 449,0,0,1,0
1248,LAMB3,Cluster 836,3,Component 2,2,1,1,1
1249,SIX4,Cluster 317,5,Component 2,2,0,1,2
1250,UTP6,Cluster 475,4,Component 2,2,0,1,2
1251,C15orf39,Cluster 829,3,Component 2,3,1,1,2
1252,NIP7,Cluster 29,25,Component 2,14,1,1,13
1253,CDK6,Cluster 789,3,Component 2,5,0,1,5
1254,DUSP9,Cluster 474,4,Component 2,1,0,1,1
1255,ALB,Cluster 530,4,Component 2,3,1,1,2
1256,TASOR2,Cluster 43,20,Component 2,2,1,1,1
1257,ATP6V1B1,Cluster 788,3,Component 450,1,0,1,1
1258,CRY1,Cluster 1475,2,Component 2,1,1,1,0
1259,OXER1,Cluster 4351,1,Component 451,0,0,1,0
1260,PMPCA,Cluster 13,33,Component 2,17,3,1,14
1261,SIDT1,Cluster 787,3,Component 2,1,0,1,1
1262,FAM104A,Cluster 4350,1,Component 452,0,0,1,0
1263,WNT1,Cluster 786,3,Component 2,3,1,1,2
1264,NFKBIE,Cluster 134,9,Component 2,9,3,1,6
1265,UBA5,Cluster 4349,1,Component 2,15,1,1,14
1266,CSNK1D,Cluster 42,21,Component 2,12,2,1,10
1267,TMEM187,Cluster 22,29,Component 2,11,2,1,9
1268,INSM2,Cluster 4348,1,Component 453,0,0,1,0
1269,NR2C2,Cluster 131,9,Component 2,1,0,1,1
1270,NOX3,Cluster 4347,1,Component 454,0,0,1,0
1271,HOXD8,Cluster 246,6,Component 2,2,0,1,2
1272,NOC3L,Cluster 344,5,Component 2,5,1,1,4
1273,NUP43,Cluster 68,15,Component 2,13,0,1,13
1274,PLXNC1,Cluster 785,3,Component 2,2,0,1,2
1275,POU3F1,Cluster 4346,1,Component 455,0,0,1,0
1276,SYNE3,Cluster 4345,1,Component 456,0,0,1,0
1277,GBP1,Cluster 11,34,Component 2,60,7,1,53
1278,AAMP,Cluster 473,4,Component 2,2,0,1,2
1279,DGAT1,Cluster 33,24,Component 2,14,1,1,13
1280,CCDC152,Cluster 23,28,Component 2,13,1,1,12
1281,TNIP2,Cluster 119,10,Component 2,13,1,1,12
